title,authors,categories,published_year,num_pages
"Fluke - Or, I Know Why the Winged Whale Sings",Christopher Moore,Fiction,2004,321
Lord of Light,Roger Zelazny,Fiction,2004,296
The Perennial Philosophy,Aldous Huxley,Philosophy,2004,336
A Crack in the Edge of the World - America and the Great California Earthquake of 1906,Simon Winchester,History,2006,419
Dead Witch Walking,Kim Harrison,Fiction,2004,416
"The Good, the Bad, and the Undead",Kim Harrison,Fiction,2005,453
"Men Are from Mars, Women Are from Venus - The Classic Guide to Understanding the Opposite Sex",John Gray,Family & Relationships,2004,368
Sabriel (adult),Garth Nix,Fiction,2004,311
Slouching Toward Nirvana - New Poems,Charles Bukowski,Poetry,2006,288
Bad Childhood---Good Life - How to Blossom and Thrive in Spite of an Unhappy Childhood,Laura Schlessinger,Self-Help,2006,272
Cat Cross Their Graves - A Joe Grey Mystery,Shirley Rousseau Murphy,Fiction,2005,385
Cat Breaking Free - A Joe Grey Mystery,Shirley Rousseau Murphy,Fiction,2006,375
Slider - A Novel,Patrick Robinson,Sports & Recreation,2004,416
"I Have No Mouth, and I Must Scream",Harlan Ellison,Science Fiction,1968,13
